timestamp,open,high,low,close,volume
2021-01-12,256.6300,259.7200,250.3000,251.0900,25772128
2021-01-11,260.4800,263.4700,255.9000,256.8400,30412286
2021-01-08,268.3100,268.9500,263.1800,267.5700,18528251
2021-01-07,265.9000,271.6100,264.7800,268.7400,15789756
2021-01-06,262.0000,267.7500,260.0100,263.3100,24354149
2021-01-05,268.2900,272.4000,268.2111,270.9700,9871557
2021-01-04,274.7800,275.0000,265.2000,268.9400,15106113
2020-12-31,272.0000,277.0900,269.8100,273.1600,12900408
2020-12-30,277.9500,278.0800,271.7100,271.8700,11803795
2020-12-29,276.9500,280.5100,276.2800,276.7800,16382995
2020-12-28,268.7400,277.3000,265.6600,277.0000,23123385
2020-12-24,268.8750,270.4000,266.2000,267.4000,6702033
2020-12-23,266.8900,272.1699,266.2300,268.1100,14329038
2020-12-22,271.5000,271.5000,264.6300,267.0900,17334999
2020-12-21,272.9780,274.6700,267.7900,272.7900,16553740
2020-12-18,275.7750,278.0000,271.1400,276.4000,26693249
2020-12-17,277.0700,280.4400,273.6100,274.4800,16377844
2020-12-16,274.7600,277.8600,272.5100,275.6700,15884999
2020-12-15,274.8300,276.0800,267.4700,275.5500,23979461
2020-12-14,273.3722,277.2200,271.5600,274.1900,16376880
2020-12-11,274.5300,276.4800,270.2500,273.5500,14391401
2020-12-10,275.5350,278.7300,271.8600,277.1200,20065091
2020-12-09,283.6600,287.6300,271.7500,277.9200,25189707
2020-12-08,286.0100,286.4272,281.5500,283.4000,10747650
2020-12-07,279.1900,288.4900,278.2000,285.5800,13007665
2020-12-04,280.3000,283.4600,279.3000,279.7000,10880299
2020-12-03,286.2500,286.6500,281.0700,281.8500,12921694
2020-12-02,285.3600,291.7800,280.8250,287.5200,17361624
2020-12-01,279.1600,289.3000,278.9600,286.5500,20602115
2020-11-30,276.0300,277.7000,271.0100,276.9700,16693336
2020-11-27,277.3900,279.1300,274.8200,277.8100,7808426
2020-11-25,278.1400,280.1800,272.6500,275.5900,12467009
2020-11-24,268.4900,277.8199,267.8700,276.9200,16852501
2020-11-23,270.8900,270.9471,264.5300,268.4300,20990786
2020-11-20,272.5600,273.0000,269.4100,269.7000,18122412
2020-11-19,271.0250,273.4700,269.1900,272.9400,12963658
2020-11-18,274.5200,277.3889,271.8400,271.9700,12152945
2020-11-17,277.6800,277.6800,273.2900,275.0000,15040297
2020-11-16,275.0500,279.4100,274.6300,278.9600,12970352
2020-11-13,277.7200,277.7600,273.1000,276.9500,10400101
2020-11-12,277.1800,279.7500,274.4300,275.0800,12914206
2020-11-11,273.4700,278.4000,272.4800,276.4800,14956950
2020-11-10,273.1000,274.0000,264.0000,272.4300,29067691
2020-11-09,289.8700,292.5800,278.5300,278.7700,25117650
2020-11-06,293.9500,294.6000,288.0600,293.4100,13890974
2020-11-05,291.8965,297.3800,288.9500,294.6800,23823633
2020-11-04,281.0000,288.9400,278.6200,287.3800,35364424
2020-11-03,263.1600,270.0500,260.8800,265.3000,17961859
2020-11-02,264.6000,270.4700,257.3400,261.3600,27165679
2020-10-30,274.5000,276.7000,259.1000,263.1100,47299002
2020-10-29,276.5500,283.6000,273.7800,280.8300,32368118
2020-10-28,278.7900,278.7900,267.2600,267.6700,23121808
2020-10-27,278.7600,284.5100,276.3100,283.2900,16287249
2020-10-26,283.1600,285.2300,274.2600,277.1100,21322925
2020-10-23,278.8024,285.2400,276.8200,284.7900,17535155
2020-10-22,279.8700,282.4500,275.0400,278.1200,16720026
2020-10-21,279.5600,283.0500,276.3700,278.7300,28998638
2020-10-20,263.0600,269.7000,262.8800,267.5600,18763246
2020-10-19,265.5300,268.5500,259.8800,261.4000,13586955
2020-10-16,267.3750,271.3700,265.3000,265.9300,16622702
2020-10-15,267.6000,269.0400,263.6700,266.7200,15416064
2020-10-14,277.6200,278.7500,271.5000,271.8200,15601154
2020-10-13,277.5800,279.1000,273.3900,276.1400,18063343
2020-10-12,270.2000,280.1800,267.8700,275.7500,31019256
2020-10-09,264.5200,264.7500,262.1700,264.4500,14107803
2020-10-08,259.7500,264.6200,259.1488,263.7600,16312762
2020-10-07,259.2100,260.1800,254.8200,258.1200,23133417
2020-10-06,261.7800,265.6900,258.2400,258.6600,18696917
2020-10-05,262.2000,264.8650,260.8401,264.6500,12822252
2020-10-02,261.2100,265.1500,259.1800,259.9400,16367597
